X,Y
-52661.22829,2993417.827
-54411.22211,2992714.054
-55541.04557,2988815.308
-56038.66173,2982851.311
-57380.62438,2979363.571
-60894.2608,2976203.116
-62459.12689,2971994.346
-60165.12628,2973004.16
-54210.35806,2980775.846
-49749.28834,2980733.987
-45842.55396,2979769.767
-44410.88967,2981299.86
-77630.12343,2663441.387
-78257.6952,2660419.867
-84791.17018,2655631.696
-236571.2752,2909997.212
-226528.0516,2927335.487
10037.01052,3055653.003
8694.853469,3053673.327
8967.689116,3049981.551
5374.979223,3039881.237
3846.374432,3036209.343
-7399.767126,3028656.317
-9330.637533,3021019.852
-9616.735028,3010201.736
-8975.238014,3009269.307
-7631.046614,3011872.774
-4631.313602,3027544.939
-3315.018241,3027990.409
862.3352986,3022395.627
-3315.018241,3027990.409
-826.1868184,3030267.949
6453.86419,3035252.503
11434.25749,3050409.936
10037.01052,3055653.003
-8975.238014,3009269.307
-31174.54625,2999347.098
-41805.32546,2998686.022
-48040.2484,2996433.645
-50501.008,2995531.592
-48040.2484,2996433.645
-48261.66199,2987409.47
-44399.36618,2982329.096
-44410.88967,2981299.86
-55807.96056,3004961.817
-57660.05694,2994492.11
-66148.98255,2995183.246
-52661.22829,2993417.827
-53799.1827,2988799.285
-53857.87128,2983242.973
-46043.04131,2981315.882
-44410.88967,2981299.86
-44885.99862,2987479.552
-52493.88478,2988684.264
-57490.03106,2989861.818
-60073.80259,2992765.18
-61837.83887,2994832.839
-62600.07619,3001527.543
-64284.56218,3007502.978
-66100.53809,3011319.793
-67390.05067,3013282.293
-70756.00602,3014850.646
-72058.00091,3015580.075
-72058.00091,3015580.075
-70084.06702,3016693.681
-67145.04124,3016053.232
-65741.23257,3014603.647
-64119.60496,3013151.925
-63054.75799,3010574.694
-62312.16092,3008513.477
-61580.1188,3005424.378
-61165.94704,3003262.461
-60551.68302,2999350.772
-60255.1022,2996366.337
-60065.17039,2994688.404
-58114.73121,2992644.867
-50836.52831,2990932.024
-45194.20665,2989128.809
-42586.04243,2988691.47
-42066.27796,2986525.491
-42313.16168,2983955.184
-44264.01975,2984694.99
-44885.99862,2987479.552
-62459.12689,2971994.346
-62180.12683,2967253.04
-61995.59128,2963953.917
-62294.85723,2969203.297
-59999.72995,2967852.019
-57746.39103,2964946.661
-54618.12044,2962650.755
-72058.00091,3015580.075
